,user,item,rating,review
45,175,520,5.0,I can't believe what a good thing this has become in my 'arsenal'
46,155,645,5.0,It's a great tunner
47,160,789,4.0,Great little unit!
48,118,227,3.0,Lots of Customization
49,158,195,4.0,Great mandolin pick
50,168,317,5.0,Good thumbpick for banjo
51,181,696,5.0,Wonderful acoustic at a price that's hard to beat.
52,160,28,4.0,"Not fancy, but they do the job!"
53,144,653,4.0,Scarlett 2i2 - the start of something great
54,139,521,5.0,Gotta Trust The Physics
55,90,330,4.0,Good all around vocal mic
56,53,703,5.0,This product ships as expected
57,122,614,1.0,"LIGHTWEIGHT,ATTRACTIVE, INEXPENSIVE"
58,180,207,2.0,Poor quality control
59,181,522,3.0,"Excellent tuner, some issues with the ball joints -- First class company"
60,119,785,5.0,Excellent strap
61,64,580,5.0,"No buzz, great for any price"
62,134,12,5.0,"Excellent strings - Great customer service, and great video for changing strings"
63,141,537,5.0,It shines up my geetar prettily..
64,6,109,4.0,Stack in a box for cheap
65,51,267,5.0,Rogue G10 10W 1x3.5 Guitar Combo Amp Black
66,127,801,3.0,Its ok
67,45,61,5.0,My favorite strap by far
68,76,585,5.0,fantastic
69,20,404,5.0,Nice
70,79,639,5.0,Works great
71,178,303,5.0,"Work great, get the job done..."
72,49,164,5.0,I feel like a blues brother.
73,6,476,3.0,Not bad but the Cool Cat line is $4 more and a better build
74,12,122,1.0,Picks up UNWANTED NOISE & BAD AFTER-SALE SERV
75,4,552,4.0,"Good Strings overall, with ""metalic"" sound"
76,1,562,5.0,Can't rave enough about this $40 diamond in the rough...
77,1,42,5.0,"Great looking/performing tuners, but beware of size issues..."
78,151,57,5.0,Good purchase
79,13,335,4.0,Great delay for the money
80,107,478,5.0,Great tuner
81,24,781,5.0,Just an awesome tool
82,130,665,4.0,Great looking Strap
83,52,716,5.0,great cheap stand
84,100,268,5.0,"The best stand on Amazon, at the best price!"
85,153,345,5.0,Great wax for Flame and Quilt tops!
86,174,171,5.0,great starter
87,31,55,5.0,Remo quality and sound
88,5,145,4.0,Perfect fit for the POD HD500
89,100,337,4.0,Good cheapie strap
90,124,86,5.0,Polishes
91,97,694,4.0,Shouldn't have waited my whole life
92,6,299,5.0,GREAT PEDAL
93,15,795,4.0,Nice stand. Perfect for my needs.
94,133,10,5.0,Have a lot to compare it to....
95,154,75,4.0,"Great performance, sub par construction"
96,42,19,4.0,Great harmonics
97,103,774,5.0,Perfect capos
98,170,349,3.0,could be better
99,35,41,4.0,Very Heavy Cables At Affordable Price
100,130,409,4.0,Serves the purpose
101,67,640,5.0,New pedal - SWEET!
102,167,135,4.0,little size but huge tone
103,145,539,4.0,"is good, cheaply made though"
104,127,786,4.0,Good
105,182,692,5.0,Great Product
106,158,123,5.0,Good beginner set
107,37,324,5.0,Planet Waves Ergonomic Huitar Peg Winder.
108,83,190,5.0,AMAZING
109,128,52,5.0,Pleasantly surprised how easy and efficient it is!
110,37,245,5.0,Food of the Fretboards!
111,40,498,5.0,Great Product!
112,114,789,3.0,It works pretty good
113,105,354,5.0,Keeps Your Guitar Handy - Highly Recommended
114,120,117,5.0,Made my cheap mandolin sound less cheap
115,109,777,5.0,Works Great !
116,30,28,4.0,Cheaper alternative
117,76,766,5.0,great strings
118,78,407,4.0,Great choice.  More comfortable than the cheap $5 poly straps
119,139,587,5.0,Some Pleasant Surprises
120,40,187,5.0,Great!
121,113,277,5.0,Solid piece of metal
122,186,148,4.0,Good Item for the Price
123,16,628,5.0,The only uke tuner worth owning?
124,136,176,5.0,Add California to the name and I jump!
125,137,235,5.0,GOOD CORDS
126,97,579,3.0,It's really thin
127,185,38,3.0,So so guitar cable
128,17,204,3.0,works great
129,77,64,5.0,They work Great! Just as advertised!
130,7,562,5.0,Joyo JF-02 Ultimate Overdrive Pedal
131,128,294,5.0,Great sound for the price!
132,90,196,5.0,Good sounding mics
133,40,66,5.0,Sounds Perfect
134,12,187,4.0,Like Bright Color
135,157,297,5.0,I use this all the time
136,73,535,4.0,Sound 95% like the boss mt-2 just not as clear as boss ...
137,29,605,5.0,Gibson Polish
138,133,289,5.0,Guitar?
139,137,598,5.0,Good kit
140,67,62,5.0,Great pedal
141,91,508,5.0,digital delay pedal
142,126,671,5.0,Good back ground
143,71,235,4.0,xlr patch cord
144,139,184,5.0,Your Hand Muscles Will Thank You
145,92,337,5.0,Strong Strap
146,164,396,5.0,"I'm yet to use them but the quality is there, and received them fast."
147,175,772,5.0,Want security and convenience?  This is it for guitar strap usage....
148,89,624,4.0,Shure quality and construction but not quite equal to the SM58
149,9,755,4.0,I Like This Little Camera Adapter for Mic Stands
150,16,682,5.0,Finally!  Amazon offers the Intelli IMT-500
151,31,541,5.0,Nicely made
152,112,409,3.0,heavy and does not fit...
153,17,382,5.0,The Best Cable
154,103,522,5.0,Excellent guitar tuners
155,53,779,5.0,ships as expected
156,187,803,5.0,awesome
157,76,83,5.0,"WOW, great strap"
158,95,99,5.0,Probably my favorite picks right now
159,97,522,5.0,"Death to tuners, Long live Snark"
160,184,478,5.0,Great tuner
161,68,210,4.0,Good capo for curved fingerboards
162,116,547,4.0,cool color strong spring
163,0,91,5.0,Original is still #1
164,78,350,3.0,Decent strings but a bit stiff
165,44,508,4.0,Why pay more?
166,183,719,5.0,Just bought my 2nd one
167,88,466,5.0,Great strings
168,46,364,5.0,Clean and Shiny
169,32,78,5.0,Great Value
170,57,612,5.0,Awwesome Guitar Straps.....
171,149,106,5.0,My Go To Sticks
172,140,721,5.0,Nicee
173,126,320,5.0,Good Fit
174,32,497,5.0,Great Value
175,69,522,4.0,4 stars because the arm broke
176,66,523,5.0,Cleaned up my necks nicely
177,14,615,5.0,Good value for home recording
178,38,661,5.0,Fantastic Quality
179,6,219,5.0,A Five Ounce Can Of Magic.
180,137,203,4.0,Good Product
181,67,336,5.0,Great parts - just like the Schaler counterparts
182,28,356,5.0,Necessity
183,34,1,5.0,Great for cleaning acoustics!
184,136,788,5.0,Just for me....
185,163,580,4.0,Works great
186,187,770,5.0,awesome bench
187,5,408,2.0,Good for practice
188,127,691,3.0,Ok
189,143,347,5.0,Great Upgrade
190,135,51,5.0,Works Like A Champ
191,76,379,5.0,Fantastc assortment
192,38,616,5.0,Very easy to assemble
193,135,382,5.0,Great cable
194,127,670,4.0,It works
195,135,507,5.0,The patch works great
196,135,29,5.0,And I don't play Hawiian Guitar
197,169,381,5.0,Never had an issue
198,144,377,4.0,The Design!
199,133,339,5.0,Early review
200,147,229,4.0,Very good picks
201,15,75,4.0,"Does the job. A simple compressor,perfect for guitar."
202,107,158,4.0,Nice strings
203,72,385,5.0,great sustains
204,174,451,4.0,Like not love
205,21,103,5.0,Fender locking tuners
206,90,412,5.0,Great little disposable guitar!
207,46,424,5.0,Hey am I in tune?
208,20,466,4.0,"Good strings, Great Price."
209,44,272,5.0,Quiet switching as expected
210,72,754,5.0,Fantastic Amp!
211,161,801,5.0,"2"" polypropylene Guitar strap"
212,161,769,5.0,"Great Chorus sounds, for very little cash"
213,99,595,4.0,works well
214,122,465,5.0,attractive and well made
215,54,34,4.0,Great little pedal.
216,9,555,5.0,Terrific All-in-One Must-Have Tool for Guitarists!
217,12,331,4.0,My Third Pack
218,5,580,3.0,Good for power in an emergency
219,178,39,5.0,This is so handy!
220,159,46,5.0,Sound bright and clear - last a long time
221,104,522,5.0,great little tuner
222,80,522,5.0,Great Tuner/ Great Price.  gets the job done well
223,61,48,4.0,Another great Planet Waves idea!
224,96,75,5.0,This is it!
225,34,634,5.0,Dunlops rock!
226,180,54,5.0,"Solid, affordable, dependable cables"
227,158,312,4.0,More area for for a good grip
228,12,774,4.0,easy to use & beautiful
229,76,532,5.0,"Classy, fuctional iconic name"
230,78,660,5.0,10 years as a semi-pro and I keep coming back to these
231,109,187,5.0,Only Picks I Use for Playing Acoustic - Strumming Style Play
232,48,368,5.0,Probably a great tube.
233,53,724,5.0,ships as expected
234,28,715,4.0,"Easy to use, works"
235,115,235,5.0,Great Product Great Service
236,146,202,5.0,Space saver
237,147,728,3.0,Pretty good
238,21,65,5.0,Number 3 and still counting
239,177,712,5.0,Works
240,29,133,3.0,Planet Waves Humidifier
241,13,507,5.0,Works great & priced right
242,37,63,5.0,Lightning Strikes!
243,158,509,5.0,"Tiny, convenient, accurate enough"
244,30,121,5.0,Awesome little amp
245,33,249,4.0,All Inclusive Tester - Nice Price
246,85,607,5.0,great for my acoustic guitar!!!
247,121,263,4.0,Works great to correct other pedal noise
248,137,297,5.0,Almost as good as draft beer!
249,159,453,5.0,"Bright tone, long lasting - great strings"
250,97,492,5.0,I love these picks
251,158,291,5.0,Easy to use
252,109,674,5.0,Only Picks I Use for Acoustic - Strumming Style
253,187,220,4.0,its okay
254,57,789,5.0,The Best of The Best
255,39,400,5.0,10's work
256,118,528,5.0,"Thik, Heavy and Tweed"
257,166,374,4.0,Good buy.
258,118,332,5.0,"Right Price Point, Works Great"
259,57,556,5.0,A great gadget add on to my guitars.
260,1,632,5.0,Thick Satriani Lead Tones On-the-Go!
261,27,600,2.0,Rather bulky for close patching
262,106,397,3.0,OK starter guitar for a kid
263,36,398,4.0,Adds another dimension to recording and live performance
264,23,718,5.0,Love them; finally!
265,85,756,5.0,awesome!!!!
266,107,337,4.0,No flashy but good.
267,59,418,5.0,Been part of my rig since 1996
268,88,120,4.0,Gotta have 'em!
269,78,99,4.0,Get Jazzed - Nice picks if you like smaller Tortex picks
270,103,555,4.0,Pretty good
271,71,765,4.0,heavy duty folding music stand
272,108,786,5.0,Just right.
273,82,600,5.0,"Planet Waves Classic Series Instrument Cable with Right Angle Plug, 0.5"
274,162,250,5.0,Perfect for bass drums and amps
275,14,759,4.0,Good basic mic clip
276,32,11,5.0,I have to cases.
277,73,801,3.0,Three Stars
278,21,789,5.0,I have 6 of these
279,74,415,3.0,"Decent Stand For The Price, Quality Could be MUCH Better"
280,127,716,2.0,It's not what i was expecting.
281,85,611,5.0,awesome!!!
282,45,79,2.0,"Low E string gets fuzzy fast, Other strings bland sounding."
283,147,434,4.0,"Very good, but limited"
284,133,337,5.0,Misplaced pick?
285,45,576,5.0,4.5 stars. Upgrade the bridge.
286,164,223,4.0,Its good
287,12,301,5.0,"Smart & Handy Design to save a drill into my ""Baby"""
288,161,395,5.0,Analoge Delay works great
289,47,489,5.0,Just what I was looking for
290,119,134,5.0,Easy to use
291,56,49,3.0,Not useful at all
292,52,466,5.0,no sense passing it up
293,123,238,4.0,Great Stand with a Couple of Weak Points
294,141,78,5.0,"Works wonderfully, no noise"
295,56,140,4.0,"Very nice, you get what you pay for."
296,38,375,5.0,Wonderful Capo
297,69,336,5.0,vey good strap lock
298,99,120,5.0,recommended!
299,186,94,4.0,Great tuner for the price
300,94,43,5.0,Nice strap
301,2,509,5.0,Very Impressive!
302,47,497,5.0,Very good for the money
303,46,636,5.0,Smooth Jazz
304,162,44,5.0,Can be used as a main and has a lot of power
305,103,758,5.0,Excellent Gig Bag
306,142,550,4.0,Tiny but capable
307,179,466,5.0,"The ultimate strings for any and all of my guitars. If you buy one brand, D'adario is a great choice for any style of playing."
308,55,335,5.0,Great pedal for the money
309,11,79,4.0,"Better than factory, at the right price."
310,127,535,4.0,Good!
311,137,70,5.0,PEDAL BOARD CLEAN UP!
312,26,347,5.0,Strat Mexican Tremolo Upgrade
313,138,466,5.0,Great Electric Guitar Strings!
314,166,565,3.0,Reasonable for the price.
315,40,788,5.0,Very good product
316,19,597,5.0,Works as advertised
317,143,241,5.0,GREAT!
318,74,466,4.0,Best String Out There In Its Price Class
319,183,698,5.0,.38mm picks
320,182,674,5.0,Love them
321,22,555,4.0,"String cutter works, pin puller not so much"
322,69,691,4.0,Yes it works.
323,27,793,5.0,Very High Quality and Excellent Fit
324,127,263,3.0,It's ok!
325,121,624,4.0,Unbiased review
326,174,723,5.0,Love it
327,85,424,5.0,excellent!!!!
328,84,469,5.0,SUSTAIN GALORE!!
329,10,57,5.0,Great replacement knobs!
330,144,328,5.0,Dunlop Strap Button
331,79,126,5.0,Nice quality product
332,45,338,4.0,You must take the time to find your tone with this pedal.
333,61,331,4.0,Sound great!
334,91,6,5.0,THIS THING IS FUN!!!!!!!!!!!!!!!!!
335,1,473,5.0,Nearly indistinguishable from a TS-9 Tubescreamer...and $40.
336,160,511,4.0,"Great sound, regardless of price"
337,24,602,4.0,For practice- it works
338,76,29,5.0,GREAT picks
339,3,772,2.0,Disappointing Quality and Engineering
340,4,389,5.0,Great sound and effects at low to medium volume
341,38,306,5.0,Great value
342,57,69,5.0,On Stage Stand MS7701
343,145,15,5.0,"great fit, great price"
344,187,620,5.0,pretty cool
345,90,30,4.0,Good cymbal stand for the money
346,153,497,3.0,Cheap cable for the tuner out on my amp...
347,62,619,3.0,Cheap thin bag
348,142,178,4.0,Not bad...!
349,187,85,5.0,works okay
350,24,481,5.0,Amazing sound...nice price
351,28,493,5.0,Sweaty fingers
352,145,78,5.0,"Nice guitar cable, even better price"
353,180,772,5.0,The best straplocks available
354,83,22,5.0,Great for metal
355,64,788,3.0,Not purple
356,139,290,4.0,Good Quality But Some Awkward Design Choices Like Its Predecessor
357,110,710,5.0,"Huge, Fun, Can Download Preset from Website"
358,133,494,4.0,"Great sound, great price."
359,59,638,5.0,My favorite guitar strap
360,50,702,5.0,I own many guitar straps for many guitars.
361,63,177,4.0,4 year review...I still like it...alot!!
362,122,150,5.0,I should have bought this one
363,134,587,5.0,Excellent Strings
364,158,447,5.0,I love this speaker!
365,20,403,4.0,Seem to be higher quality
366,184,612,5.0,I like this so much I bought one for each guitar
367,80,31,3.0,these are good.
368,95,3,5.0,"Give em some time, you'll like em!"
369,101,587,5.0,Smooth and Sweet: Great Phosphor Bronze Strings!
370,63,725,5.0,Now I have all the harps I need
371,176,273,2.0,Too flexible
372,6,529,4.0,Great bang for the buck overdrive
373,6,183,5.0,Five stars for doing what it does at this price point
374,60,363,4.0,"Nice, Relatively Inexpensive Instrument"
375,42,168,4.0,Good neck rack
376,22,133,5.0,No drip humidifier
377,167,607,4.0,Dig it
378,162,594,5.0,Bright while remaining discreet
379,176,574,3.0,The leather sheds
380,46,223,4.0,Stand it up
381,105,762,4.0,Roomy Guitar Case - Recommended
382,21,767,5.0,Excellent value
383,9,503,4.0,Good price - Does the job!
384,46,279,5.0,Jacked
385,171,62,4.0,The go to distortion pedal
386,164,240,5.0,All I will use
387,124,175,4.0,neat
388,142,128,5.0,"Excellent sound, low latency, plug and play"
389,182,746,5.0,Great Product
390,18,545,5.0,What can I say.. it is fantastic
391,145,310,5.0,a great pedal
392,46,9,5.0,Switch it up!
393,158,673,5.0,Unbeatable for an older guitar
394,57,541,5.0,Great Item
395,98,198,4.0,Works
396,78,187,5.0,Great picks - Tortex / Delrin are the way to go
397,174,416,5.0,great strings
398,85,271,5.0,it does the job
399,79,729,4.0,Great cord but over-priced
400,99,399,5.0,Excellent Product
401,41,555,5.0,works wonders
402,57,12,4.0,Great strings for my Ovation Celebrity.....
403,58,257,4.0,I drink Carlsberg!
404,156,598,5.0,"I like it - it polishes, waxes, cleans, and does just what it's supposed to."
405,82,50,5.0,Ernie ball strings
406,23,557,5.0,Best no frills practice amp on the market.
407,4,414,4.0,"Nice ring, a bit metalic"
408,18,774,5.0,Always great Kyser
409,26,13,4.0,Simple but necessary. It works for me!
410,125,600,5.0,Great Value. Quality.
411,10,243,5.0,Jim Dunlop MC401 MXR Boost/ Line Driver - Great effect!
412,86,406,5.0,Good Mic for the Money
413,66,689,5.0,Looks Sharp
414,54,406,5.0,WOW!
415,9,320,5.0,Works well with Levy's or common slotted leather straps.
416,50,1,5.0,Best Polish. Period.
417,43,599,5.0,Use it at every gig
418,46,688,5.0,Fender Clip On
419,42,691,4.0,Holds picks
420,26,307,5.0,The finishing touch.
421,10,223,5.0,Great stand
422,153,694,5.0,"Revived dirty bass strings, great product."
423,105,716,5.0,Great Value Guitar Stand - Highly Recommended
424,60,129,5.0,Great Product
425,45,187,4.0,"These guitar picks are great. If you have a guitarist that is in your family, get him a pack or 2. He will thank you."
426,79,794,5.0,Nice quality
427,113,585,5.0,"More than I needed to do the job, so thanks"
428,181,613,4.0,Digging this pedal
429,162,173,5.0,Perfect patch cable
430,138,566,5.0,Great Functional Tuner!
431,36,518,5.0,Nice pedal. Great price
432,96,263,5.0,Clean
433,70,708,5.0,solid stand
434,174,114,5.0,work fine
435,181,49,3.0,"Simple and useful, but doesn't instill a lot of confidence"
436,8,556,5.0,Handy.
437,105,93,5.0,Great Portable PA w/Wireless Microphone! Highly Recommended
438,22,673,5.0,Works for me
439,22,532,5.0,"Broken a few, but they're cheap and I still prefer them"
440,91,494,5.0,fab flanger
441,75,121,5.0,An amp for panhandling in Penn Statin
442,100,724,5.0,Worked for its intended purpose.
443,170,298,3.0,cheaply made I wonder how long it will last.
444,98,716,4.0,Takes a minute to figure out
445,182,466,5.0,Awesome Strings
446,152,799,5.0,The original and BEST
447,4,387,2.0,"Poor Quality Control, Unsatisfactory Sound"
448,153,138,5.0,Nice slide for acoustic and cigar box guitar...
449,171,73,5.0,If I could do 10 stars - I would
450,99,478,4.0,seems to work well
451,122,556,5.0,Very Good Pick Holder
452,95,22,4.0,Good for backups
453,186,789,3.0,Cheap... but will it last?
454,17,600,3.0,Good enough patch cables
455,0,421,5.0,Does what it's supposed to
456,167,648,5.0,best bang for the money
457,66,791,5.0,Stays in my case
458,129,420,5.0,Awesome Pedal
459,174,570,5.0,great little tuner
460,83,298,5.0,Very good
461,53,734,5.0,This product ships as expected
462,143,628,5.0,Great!!!
463,1,718,5.0,Outstanding monitor for guitar playing/recording
464,153,746,5.0,Great tough cable for bass guitar
465,50,772,2.0,Too Big.
466,77,238,5.0,Best Guitar stand out there
467,93,741,3.0,Acciedent...
468,156,594,4.0,"They work excellently, and provide a good (though not quite enough) amount of light"
469,60,340,4.0,Great Strings for Finger-Picking
470,104,748,5.0,Great Strings!
471,41,536,5.0,Great quality/Great price
472,69,788,5.0,"Yes, really the best."
473,172,201,5.0,nice for the price
474,80,78,4.0,gets the job done
475,33,215,4.0,A Good Basic EQ Pedal
476,135,210,5.0,Nice Capo
477,103,245,5.0,Very Good
478,83,575,5.0,Badass
479,65,229,5.0,Very Good Product
480,76,466,3.0,Put these on and played last night
481,64,737,5.0,Greatest Practice Amp Ever!
482,85,711,5.0,freaking awesome!!!
483,158,277,4.0,"""F"" logo neckplate"
484,86,235,5.0,Quality Cables
485,66,84,5.0,Perfect color match
486,180,721,5.0,Perfect for practice
487,62,103,5.0,Love these!
488,137,595,4.0,Good polish cloth
489,47,522,4.0,"Good inexpensive tuner, but fragile"
490,160,187,5.0,My favorite for over 30 years!
491,3,94,5.0,Subtly Better than Previous Snarks
492,100,585,4.0,OK for what you pay
493,110,677,4.0,"Very small, simple"
494,128,412,5.0,This is an awesome guitar at an awesome price
495,153,31,5.0,"First set of Martins, definately not my last."
496,136,522,5.0,Something for me.
497,105,109,5.0,Awsome Distotion Pedal - Highly Recommended!
498,82,722,5.0,Boss ME-70
499,60,749,5.0,Solid All Around
500,136,263,5.0,Try Behringer!
501,181,265,2.0,Does not work with my iPhone 3Gs
502,75,726,4.0,Suitable for light duty
503,136,466,5.0,You stick with what you know and like.
504,90,78,3.0,Standard guitar cable
505,76,413,4.0,good string for cheap guitars
506,51,374,5.0,Fender 1A-SX2S-JTXK 10-Feet Performance Series Guitar Cable
507,86,558,4.0,Fair quality
508,124,50,5.0,Standard
509,141,580,3.0,Your results may vary..
510,70,143,5.0,pink
511,187,81,3.0,pretty cool
512,150,580,5.0,Great power supply for multiple effects
513,165,582,3.0,you get what you play for
514,43,727,5.0,Best light ever
515,89,778,4.0,When tiny and cheap is better than big and expensive
516,88,580,4.0,"Good, but not great"
517,18,154,3.0,Seems good given the price
518,6,501,5.0,Great sounding OD at any price.
519,134,241,5.0,Elixir's Have Become Our Standard
520,78,466,5.0,"""Da-Dairy-O"" produces great USA-made strings at a great value"
521,152,434,3.0,(Old circuit was an) Irreplaceable Classic
522,11,555,4.0,Capable cutter.
523,16,282,5.0,Great tuner but NOT a white SN-8!
524,141,789,3.0,"Handy little tuner, but it broke!"
525,23,694,5.0,Another use
526,71,456,5.0,audio technica usb microphone
527,93,79,4.0,Two sets in one.
528,1,618,4.0,"Great value, but limited to slapback and shorter delays"
529,8,547,4.0,"Wrong color, but it's pretty nice for a cheap capo."
530,187,105,5.0,sounds good
531,165,231,4.0,"get rock, metal tones"
532,162,365,5.0,Excellent construction and performance
533,46,595,5.0,Cleans Great
534,146,752,4.0,Good
535,105,601,5.0,Perfect For My Needs - Highly Recommended
536,6,34,4.0,Nice for price.
537,112,772,4.0,work fine kinda protruding
538,71,610,4.0,acoustic guitar case
539,172,295,4.0,probably worth the price
540,27,138,5.0,"Heavy Feel, but very large"
541,5,243,5.0,Must have in your signal chain
542,49,726,5.0,Nice.
543,127,367,4.0,Nice Job
544,2,715,4.0,very useful!
545,116,541,5.0,great XLR cable
546,102,195,5.0,Great picks
547,185,736,2.0,"Not ideal.  Lower fork too narrow and small, bad design."
548,132,493,4.0,Okay Guitar Strings
549,25,61,5.0,Great inexpensive strap.
550,88,687,3.0,Install issues
551,66,463,5.0,Looks Good
552,93,318,5.0,Epiphone les paul.
553,153,593,5.0,"Great stand, strong and fully adjustable."
554,45,22,4.0,"Despite what the pack says, you can tune these to E."
555,103,354,5.0,Can't go Wrong!
556,66,378,5.0,Perfect Flatwounds
557,141,532,5.0,Work fine (when I can find them)..
558,52,91,5.0,cry baby cry...
559,162,708,5.0,"Inexpensive, but not cheap"
560,170,791,5.0,heavy duty for string cutting
561,4,555,5.0,Great Tool for guitar owners
562,1,24,5.0,If you're at all serious about recording guitar...pick this up!
563,151,111,5.0,"GLS 20"" guitar cable."
564,80,14,5.0,great little stand
565,185,616,3.0,Ukulele: too large fork  (plus update)
566,72,326,4.0,good tone.
567,92,406,5.0,perfect mic!
568,8,182,4.0,Ridiculous but useful capo.
569,36,50,5.0,Just great guitar strings
570,79,615,4.0,Does the job but there are better quality ones out there
571,174,122,5.0,worked great
572,124,325,5.0,Perfect for a small apartment
573,38,555,5.0,Nice device
574,52,644,5.0,"small box, big sound"
575,138,555,5.0,Planet Waves Pro Winder String Winder and Cutter works Great
576,158,552,5.0,Usual D'Addario quality
577,104,78,5.0,"great, affordable, cord"
578,186,354,3.0,"Really good, but......."
579,169,443,5.0,Perfect....for me.
580,117,757,5.0,I wish I had bought these first!!
581,132,355,5.0,Good Rosin
582,4,490,4.0,Good Gig Bag
583,109,673,5.0,My Preference in Strings !!!
584,50,153,5.0,Lighter than light strings. I've used them for year and love them.
585,111,420,5.0,Excellent
586,141,86,5.0,Works fine as a polishing cloth..
587,83,179,5.0,"Two words ""THE BEST"""
588,83,786,5.0,Great pedal cable connectors!
589,106,326,5.0,Easy to handle
590,149,596,2.0,Not on my bass
591,102,314,4.0,Works perfect
592,116,565,5.0,super mic
593,7,563,2.0,Joyo JF-16 British Sound Effects Pedal
594,27,17,3.0,Good Stylish Strap
595,40,559,5.0,Great product
596,89,361,5.0,"Unbeatable value, convenience and durability."
597,31,511,5.0,Works very well
598,89,678,5.0,A Must for Musicians: Rivals the H4n and performs with machines costing 3 times as much: Raising rating after 16 months use.
599,45,597,5.0,Absoulutely love it!
600,44,339,4.0,Harmony on a budget was never sweeter
601,159,321,5.0,"Portable, durable, and GREAT mic pre-amp"
602,104,480,5.0,Elixirs just sound good
603,10,668,5.0,Best strap locks made
604,137,249,5.0,SAVES FACE!
605,79,438,5.0,Works like a charm
606,6,351,5.0,"Think ""Lightning Crashes"""
607,30,271,4.0,Excellent Portable Mixer
608,187,789,3.0,it okay
609,6,625,4.0,Face Melting Fuzz
610,53,541,5.0,ships as expected
611,95,456,5.0,Ridiculously cheap for the quality!
612,59,329,5.0,Great boost to your amps overdrive
613,183,317,4.0,So this is a Large size?
614,50,618,5.0,Amazing analog sound that richly colors your tone!
615,79,219,4.0,Used it on my printer cartridge
616,133,75,5.0,Likely used in everything...
617,45,261,2.0,Not impressed.
618,41,406,5.0,Great quality microphone/Good price
619,102,774,4.0,Works well
620,131,753,5.0,Five Stars
621,79,383,4.0,This actually works
622,104,288,5.0,Great Interface
623,46,800,5.0,Pickin!
624,17,692,5.0,The Best Cable
625,89,506,4.0,Blue Yeti vs. AT2020?
626,103,52,3.0,Satisfactory
627,104,0,5.0,excellent tremelo
628,100,156,5.0,The best
629,79,681,4.0,Clear mike (my own spelling of microphone)
630,147,698,5.0,Great!
631,186,367,2.0,You get what you pay for
632,65,198,4.0,Good Stuff
633,46,13,5.0,Plug it in and rock out.
634,116,171,3.0,great learning lesson poor instrument
635,68,302,5.0,Nice and comfy
636,113,120,5.0,Really nice
637,137,580,5.0,Great for all stomp boxes
638,8,163,5.0,Works for me.
639,73,709,5.0,... i use these on my strat and it feels good and sounds amazing
640,161,688,5.0,"small price, huge value"
641,166,110,5.0,"Again, cords are either 1 or 5, this one is a 5"
642,159,187,5.0,My favorite picks
643,112,257,4.0,seems to work just fine for me...
644,31,747,5.0,Pretty neat tool
645,143,129,4.0,As expected
646,80,690,5.0,Great.  you will never go back to the other type of tuner
647,139,466,4.0,A Little Tighter Than Ernie Ball's
648,13,315,3.0,"Decent overall, except for backplate"
649,38,673,4.0,Good sound; I prefer Elixir
650,106,466,5.0,Good strings at a good price
651,46,426,5.0,Tubey Tone
652,0,19,2.0,Not So Great...
653,74,245,4.0,Excellent Product & Quite A Lot For The Small Cost
654,173,522,5.0,Fine lil' tuner
655,167,413,5.0,Wow! Volume!
656,176,534,4.0,Simple
657,3,391,3.0,Dang... Not what I Hoped For
658,147,62,5.0,Does what it's supposed to do very well
659,51,313,5.0,"Don't Fret Position Indicator for 4/4 Violin or 14"" Viola"
660,108,536,4.0,Four Stars
661,16,241,4.0,It depends...
